"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HMGCR",-1.69194533766667,8.76842193611111,-8.11903884956931,2.1715208867171e-07,0.00267071971608329,2.29374920007009
"FDFT1",-1.45593796333333,10.2561049338889,-7.7685251663872,4.03859022543972e-07,0.00267071971608329,2.0761357799105
"DHCR7",-1.51386523316666,8.77572897002778,-6.72307431536072,2.83304364289312e-06,0.0124899450736348,1.32891779722897
"HSD17B7P2",-1.05481196155556,8.30036512,-6.46980657954114,4.64393267639639e-06,0.0153551633945047,1.12365001304505
"NSDHL",-0.905618795444443,7.43925334488889,-6.11079354100229,9.4962434302595e-06,0.0251194631217224,0.815188522477941
"MSMO1",-1.77595898388889,10.7612538158333,-5.98582375901247,1.22301203741832e-05,0.0269592620114911,0.702876644508139
"IDI1",-1.41052131072222,10.1284104100278,-5.84681094649164,1.62438883361431e-05,0.030691666733404,0.574895181200707
"SQLE",-1.23019685507407,8.70998072483333,-5.77376043960595,1.88752085265022e-05,0.0312054384964397,0.506345283053763
"MYCBP",0.951293364777781,7.63343671501852,5.25159773956996,5.6258916102672e-05,0.0705369109841266,-0.00986543176219001
"LSS",-1.29759717962963,6.25368613062963,-5.23856927626825,5.78364428791857e-05,0.0705369109841266,-0.0233338273674661
"SNN",-0.658630389722225,5.98197729136111,-5.23186980334946,5.86652064740203e-05,0.0705369109841266,-0.0302706205999632
"INSIG1",-1.98291084885185,8.60235934405556,-5.01979157875443,9.22699129697745e-05,0.10169682241152,-0.253737171031192
"MVK",-0.804956546703704,5.85548624612963,-4.94705171137264,0.000107889583923568,0.109765202844085,-0.332098799918437
"SQSTM1",-1.06279971733334,9.53793061088889,-4.73700735507175,0.000169949064547035,0.160553309121363,-0.563194972498871
"FDPS",-1.17820721766667,10.7520844511667,-4.68848816431921,0.000188861088670295,0.166525117250222,-0.617575771582462
"RRAGD",-1.19353676027778,5.61654525080556,-4.63439620999724,0.000212484594326104,0.175645077784815,-0.678635020820805
"HMGCS1",-2.00156058961111,7.92712628997222,-4.56708261796302,0.000246128058090401,0.191487629194332,-0.755246787246437
"HS1BP3",-1.21200738722222,7.3668556435,-4.44795508622728,0.000319504131410134,0.234764535668358,-0.892498041814628
"CLCN6",-0.750031221444444,6.14692038505556,-4.18945137751927,0.000564470017874262,0.392930550337104,-1.19729237318314
"SUV39H2",0.809883181333333,4.72384742766667,4.16349264668975,0.000597775969793495,0.395309248824438,-1.2283966120781
"IDH1",-1.15478632655555,11.0955021867222,-4.12917132031919,0.000644872683503158,0.406146957714894,-1.26965284285458
"UAP1L1",-1.34591512622222,5.41690315455556,-4.08983007382105,0.000703475112752266,0.422916447330067,-1.31712426091197
"SCD",-1.44820681569444,9.14745834070833,-4.05174328178739,0.000765312679440078,0.440088065142368,-1.3632618153824
"RHOQ",-0.99101707588889,7.90382996755556,-3.88840155650199,0.00109880856367926,0.60553508596758,-1.56302557064785
"FLCN",-0.394364681666666,4.9679334255,-3.73186070614563,0.00155437970837548,0.81089941493208,-1.75707647495499
"RHOQP3",-0.785547612222222,8.77033926862963,-3.72047427375889,0.00159408625345789,0.81089941493208,-1.77127994157437
"FADS1",-1.20725388785185,9.51534045174074,-3.63196614042375,0.00193924307484896,0.949941811405641,-1.88205238748103
"DHCR24",-1.32294916677778,9.97678828972222,-3.60727567381377,0.00204816117392159,0.954622813335334,-1.9130628489059
"TMOD2",-0.260663821333333,3.52637680944444,-3.58619839321174,0.00214593763283509,0.954622813335334,-1.93957022838689
"NEU1",-1.67147775088889,8.85960465711111,-3.52266610021634,0.00246959083880595,0.954622813335334,-2.01965238561855
"ERG28",-0.759626133814815,7.08880143731481,-3.50793906943383,0.00255127414850778,0.954622813335334,-2.03825225738274
"TBC1D17",-0.876228166444445,5.71374294988889,-3.49039326564678,0.00265209315258407,0.954622813335334,-2.06042887880189
"MVD",-1.39848603433333,5.23392825838889,-3.49032291308343,0.00265250524320494,0.954622813335334,-2.06051783497516
"PCYT2",-0.967777325666667,6.68579489016667,-3.48097244178625,0.00270784382825486,0.954622813335334,-2.0723433667923
"ICMT",0.28071855988889,6.75616712801852,3.47055316388012,0.0027708553200222,0.954622813335334,-2.08552631552713
"LPIN1",-1.13161271096296,7.58216600425926,-3.46272139841739,0.00281917211456992,0.954622813335334,-2.0954392854699
"CERT1",-0.746230827777779,7.27623379977778,-3.45087729822513,0.00289383049838423,0.954622813335334,-2.11043695056413
"ACAT2",-1.05426257755555,9.53380472222222,-3.44279028001719,0.00294592667205446,0.954622813335334,-2.12068131759918
"FASN",-0.63480168588889,6.11034189188889,-3.43899316668365,0.00297070643207538,0.954622813335334,-2.12549250551787
"B4GALT5",-0.906510978833333,9.40406391525,-3.4334178747232,0.00300746440787637,0.954622813335334,-2.13255804742303
"WBP2",-1.15887271733333,7.54817044666667,-3.4327734613806,0.00301174191839788,0.954622813335334,-2.13337480721389
"MIS18BP1",0.640925656444446,6.06338116755556,3.4298137825065,0.00303146515651626,0.954622813335334,-2.13712630114858
"SRSF1",0.462185638777781,5.26878350105556,3.41709534009451,0.0031176837733506,0.95584499716118,-2.15325209751081
"PAQR6",-0.716241884666669,5.36478564688889,-3.40580817591777,0.00319622624226502,0.95584499716118,-2.16756942270469
"WASHC2C",-0.817023452055551,8.86817906625,-3.39545111170103,0.00327001428724382,0.95584499716118,-2.18071193643722
"CYP51A1P2",-1.10386399033333,10.1435362693889,-3.3825098840681,0.00336458034786918,0.95584499716118,-2.1971400448484
"AC000120.2",-1.03362999844444,10.6487760674444,-3.37819630582033,0.00339669702605289,0.95584499716118,-2.2026174104433
"GNPDA1",-0.988782497333332,9.22899719555556,-3.34841776483466,0.00362681401540897,0.999338378495812,-2.24044984673052
"VAC14",-0.577222025555554,7.288660514,-3.32271505706019,0.00383774268957552,0.999888822624395,-2.27312963747975
"IGKV1-13",-0.269142704333333,3.91864418861111,-3.30392423685402,0.00399954940577732,0.999888822624395,-2.29703462207935
"NAA15",0.592258910666667,9.10800736333333,3.27143242802219,0.00429531801927931,0.999888822624395,-2.33839262561666
"FTH1",-0.895445684999999,10.1537797159444,-3.22258751065073,0.00478081499417224,0.999888822624395,-2.40061029206294
"SC5D",-0.66322427188889,6.52655794716667,-3.21769461558006,0.00483231843043284,0.999888822624395,-2.4068450524592
"CLCN7",-0.572109507,6.72791604316667,-3.20248058358509,0.00499596486862848,0.999888822624395,-2.42623355979056
"DBI",-0.482105634444444,11.2145788572222,-3.20072508139722,0.0050151936451805,0.999888822624395,-2.4284709242958
"ZFYVE26",-0.703678022055557,6.45614102930556,-3.18573540040737,0.00518236300118758,0.999888822624395,-2.44757637563882
"MNT",-0.5896438,7.895665893,-3.1846522519173,0.00519465188666782,0.999888822624395,-2.44895700913913
"CHAF1A",0.708907995962963,7.39798560798148,3.16179419615309,0.00546074556350766,0.999888822624395,-2.47809491340447
"PCK2",-1.081366058,7.292249905,-3.16067128377936,0.00547415578340123,0.999888822624395,-2.4795264006242
"LSM4",0.342244329722224,10.07853531975,3.1301394232659,0.00585137894766488,0.999888822624395,-2.51844946895963
"AL139260.2",-0.513424155444445,6.54800132588889,-3.11984986358319,0.00598414241635521,0.999888822624395,-2.5315668953722
"WDHD1",0.762109365333334,6.61914655396296,3.112019501593,0.006087142825564,0.999888822624395,-2.54154903501659
"RAB8A",0.311795886777778,9.73304137516667,3.10937467411545,0.00612232241544465,0.999888822624395,-2.54492059630612
"WASHC5",-0.404591780666667,8.33757402577778,-3.09950899730291,0.0062553082249044,0.999888822624395,-2.5574967618611
