"ID","GSM3235666","GSM3235669","GSM3235720","GSM3235723","GSM3235755","GSM3235758","GSM3235764","GSM3235767","GSM3235877","GSM3235880","GSM3235886","GSM3235888","GSM3235894","GSM3235897","GSM3235903","GSM3235906","GSM3235912","GSM3235915"
"A1CF",4.941141298,6.690516855,3.840579238,3.985951636,3.957049217,3.918316203,4.48906217,3.876881309,4.186044626,4.194814528,4.280095434,4.8511935,4.036323356,4.393321458,4.567151579,4.2600022,4.199026888,4.032320802
"A2M",3.662829574,3.935378239,3.966209954,4.29487715,3.728916251,3.842211651,3.864167181,3.816679492,3.645057981,4.066013546,4.563865091,4.041841049,3.921202665,4.274121042,3.952261533,3.812008829,3.891711743,3.674825606
"A4GALT",5.126788868,4.991438741,4.041525294,4.025502109,4.492535846,4.574443252,4.910950542,4.803839831,4.655663711,4.692376998,4.222028711,4.217478995,4.673880308,5.333192421,5.313856076,4.771324871,4.258462206,4.799441475
"A4GNT",3.84026446,4.008081924,3.965519147,3.786579244,4.1295768,3.878968464,3.970065333,3.791963036,4.079059909,3.645221363,3.840220848,4.046840473,3.683532141,3.917986496,4.091346604,3.788301103,3.833016158,3.802305816
"AAAS",7.867613477,7.665085484,6.841537689,6.080700855,6.085616751,6.726842971,6.835961441,6.970738503,7.530697602,7.262590705,7.063223366,6.578304349,6.571918125,6.624909876,7.591620432,7.499393177,7.069647422,7.028922784
"AACS",8.324271685,9.138855929,7.507387959,9.601031392,7.568778981,7.398619209,7.466143783,7.421590773,8.593508584,8.812688096,7.455496978,7.186121593,7.666727345,8.587351973,8.364387201,8.490217471,7.732027368,8.006015229
"AADAC",5.030142742,5.439768615,4.642381067,5.496312995,4.061902473,3.871615567,3.414248427,3.477875112,3.798135108,3.406963296,3.696802178,4.896517905,3.662902257,3.830141002,5.446759667,6.049934689,3.723501138,3.837978459
"AAGAB",7.0633182825,6.868851597,7.1929852375,6.74989063,6.319937524,6.220712602,5.8243765305,5.716900275,7.3947792245,7.330201641,7.229275472,6.907745724,6.806353014,6.696271562,6.870413145,6.847529692,6.365336263,6.135151009
"AAK1",4.4993385144,4.4916172198,4.4875597246,4.4728192388,4.6817759242,4.9418338448,4.6336843014,4.587488682,4.3944744806,4.4153336962,4.58089802,4.670561235,4.659029845,4.7363233706,4.4437326406,4.3265925864,4.5371383214,4.4753397108
"AAMDC",6.3202758655,6.829056034,7.0998644585,8.645607575,6.901152405,6.524532494,7.84590927,7.818604185,6.8895215235,6.777988671,6.832435255,6.7315585565,6.706316186,7.5435862155,5.4901896715,5.132092926,8.130797706,8.3892852175
"AAMP",8.564721688,8.453731357,7.522802926,7.617838751,8.381790376,8.291265439,8.237443429,8.230220136,7.610643582,7.64982291,8.399476082,8.37075415,8.029101692,8.252184504,8.316154521,8.290274786,8.582222458,8.149158196
"AANAT",3.367976385,3.238211782,3.352104043,3.708138405,3.224675581,3.474543874,3.293170137,3.573815661,3.514137087,3.282869393,3.265635299,3.407395888,3.494529742,3.593853377,3.582908287,3.549700767,3.579217007,3.26435666
"AAR2",8.072451401,7.525498146,7.493190269,7.332362828,7.832983442,7.555663244,7.667389858,7.638462759,7.945598384,7.988276264,8.048411706,7.767125325,8.358496762,8.29326669,7.822760161,7.801704453,7.278538957,7.069504173
"AARS",9.661438032,10.00608865,9.157851026,9.873473178,9.735712404,10.26897193,8.623848932,9.985272769,8.911213623,9.22252239,10.0368133,10.85187917,9.794344344,10.50680959,9.028848242,9.529499318,9.657594129,9.492938309
"AASDHPPT",8.8574362925,8.2752500695,9.90634822,9.779438931,9.466248334,9.1153897025,8.4903222255,8.227435978,8.844704039,8.9035004875,9.399020051,9.137320697,9.82307365,9.4708484645,9.146999355,9.05689017,9.7348583155,9.609725055
"AASS",3.5685669635,3.9054225295,3.942727509,4.2232595515,5.174244055,5.063838464,4.5711661585,4.2088311605,4.740169784,5.2732116375,4.150395037,3.82666806,3.9620004565,3.881554688,4.429379961,4.123510863,3.9022341295,4.035987244
"AATF",10.72182674,10.20554408,9.271707895,8.732762533,10.07688607,10.02809511,9.51252169,9.792485488,9.960108169,9.68251837,9.844149752,9.60820248,9.742711319,9.096406729,10.3281045,10.21124184,10.25373281,10.03221362
"AATK",4.699603364,4.886923201,4.247554073,4.463799622,4.431894489,4.394422626,4.906110546,4.857264022,5.247963019,4.605058753,4.05974541,4.843368978,4.595279658,4.480081154,4.589097332,4.483460072,5.062517305,4.853114844
"ABAT",3.701603258,3.94331429033333,4.082483688,4.498894212,4.364307224,4.25448285333333,4.482127478,4.58588438466667,6.53068911133333,6.84557524933333,4.25469046633333,4.68932014666667,5.95722752533333,6.25834575666667,3.85808166933333,3.813704688,4.07588865866667,4.704301183
