"ID","GSM3235666","GSM3235669","GSM3235720","GSM3235723","GSM3235755","GSM3235758","GSM3235764","GSM3235767","GSM3235877","GSM3235880","GSM3235886","GSM3235888","GSM3235894","GSM3235897","GSM3235903","GSM3235906","GSM3235912","GSM3235915"
"ABCA1",4.7113623885,3.905164884,4.9988329165,5.2799859335,5.0621223035,4.875371961,6.3928444705,5.7586017285,5.565739136,5.109724825,6.0968993895,5.2645617885,5.185406931,4.903449795,4.179319687,3.8421535035,4.6109285395,4.698164487
"ABCA11P",4.254558217,3.474963538,4.413075697,3.896940669,4.272600753,4.116294861,5.385508431,4.522443995,5.635947681,5.71202889,5.654782581,5.888358738,7.399051181,6.739919736,4.882740732,4.234243818,5.16537115,5.469133072
"ABCA12",3.638239663,3.662714834,3.853407935,3.518986906,3.557822976,3.424436206,3.443217955,3.55341463,3.723379333,3.499680966,3.722514494,3.607626165,3.903373969,4.083181183,3.55705689,3.681810794,3.318029791,3.395289774
"ABCA2",4.9349200175,5.1881890255,4.594729566,4.682143476,4.2103523025,4.59075989,4.928221077,5.2629831995,4.5683691605,4.208722372,4.036905442,4.067028855,4.099412072,4.9638459885,4.7122570325,4.834276951,4.916832765,4.84443316
"ABCA3",5.293769594,6.223488733,5.962639811,6.40013897,4.613038148,4.803119184,4.86531424,5.099283418,6.994583865,6.782972368,4.653703168,5.537043147,4.541248627,5.251475604,4.685649586,5.208386694,6.575696134,6.551529687
"ABCA4",4.169270747,4.183753007,4.280511114,3.942417319,4.031285105,3.838699733,3.984071063,4.182496503,4.206693228,4.1142323,4.35731926,4.615918977,4.01637619,4.623992881,4.759232293,4.738291584,4.09137102,4.119077418
"ABCA5",4.638930059,5.423511112,5.355998745,6.156417961,5.206122526,5.22311838,4.517267087,4.324226826,5.102070538,6.172012298,5.111752594,6.411809059,5.174933758,5.907300379,4.864114573,5.402136719,3.160083675,3.653013651
"ABCA6",3.514967958,3.633977581,3.75250063,3.637753201,3.43461209,3.259063028,3.343224346,3.579886302,3.401539484,3.705574938,3.707239683,3.519787972,3.427223556,3.262898017,3.779126925,3.612040543,3.385124848,3.502886173
"ABCA7",4.665813989,5.24920745,4.547629525,5.308436878,4.22079938,4.024407543,5.211371375,5.099043395,5.159757122,4.938096973,5.810210461,5.960869757,5.132331947,5.525639358,4.719783346,5.130050155,4.338110368,4.680860095
"ABCA8",3.872731626,3.879641688,3.491808318,3.550952041,3.605223445,3.472753369,3.427616548,3.754110486,3.862324117,3.623217683,3.645111089,3.673859786,3.876734415,3.573830531,5.47520033,6.546411752,3.891059259,3.7797904
"ABCB1",3.530368845,3.73327526,3.563562192,3.872899681,4.287452748,3.990121288,3.328874278,3.74963322,3.609178294,4.066455628,3.81337461,3.626770283,4.36573132,3.604999098,4.021103505,3.933649867,3.286493348,3.602298842
"ABCB11",3.521808426,3.4847366315,3.512712637,3.4723646315,3.4846946755,3.438315023,3.3848230945,3.487858109,3.6339014635,3.56916385,3.5638481465,3.5865407625,3.3218287445,3.4050763965,3.546429191,3.5041591025,3.327684505,3.4948536845
"ABCB4",3.942747116,3.9297921565,3.922847446,4.1957319235,4.526032126,4.741566217,3.9533737255,3.8879111295,4.121947366,4.1239819925,4.051078595,4.192977806,4.0050728865,4.099202613,4.067452981,4.5737577965,4.0284476495,4.1217986585
"ABCB7",7.79582073,7.842643515,7.959488039,8.184180996,7.830295969,7.876985014,8.260303373,8.147712926,7.448642676,7.610109539,8.092193642,7.771261213,7.691073094,7.449069123,8.520481198,8.624835219,9.204352938,9.233339965
"ABCB8",4.837769898,5.254442771,4.614115446,4.74646125,4.261691799,3.903290658,4.617849335,5.002602634,5.160602087,4.991561734,4.241871794,4.128977582,4.030394524,3.832658533,4.649982534,4.641115953,4.235144322,4.012884013
"ABCB9",4.1798581185,4.3761351075,4.092752435,4.0633803435,3.9234708395,4.1214209235,4.8703580345,6.1899738105,4.06133999,3.9505886705,4.070842301,4.2332129715,3.776009626,4.310847395,4.1733276075,4.300223689,4.3244787815,4.2421816535
"ABCC1",9.509683559,9.7365333135,8.268812422,8.4727020045,7.554296414,7.748757735,7.6239970305,7.1936581225,7.84201792,7.8792382685,7.5248048735,7.461977219,8.0159251345,7.750510036,8.6457912845,8.713328227,7.82661814,7.736603917
"ABCC10",5.93010717,5.6766674885,6.508325018,6.6628017275,6.8093599765,6.962884018,6.17471982,6.191535576,6.3667952055,6.4612360015,6.7134465135,6.946231414,6.4051912755,7.322323531,6.011707109,5.816877017,6.993577366,7.2429705945
"ABCC2",9.721228519,9.976795758,4.286320006,4.432706471,4.337513515,4.611182184,3.889236841,3.949993937,3.871142299,3.879931479,4.223639133,4.411514051,6.570221515,6.650977955,9.062263969,9.154762398,4.271016939,3.888274893
"ABCC3",7.05686440733333,8.117909748,7.17467265833333,7.584495489,5.14595634466667,5.601504396,6.32655216666667,6.064125662,5.09512335833333,5.14428542633333,4.87088121766667,5.46702715933333,6.04798773833333,5.70444975466667,5.914969069,6.43812402466667,4.07586117233333,4.24185409433333
"ABCC4",9.219980754,8.869908209,9.711271487,9.926112594,8.12289018,7.984772143,8.187229182,7.889016484,7.888811644,7.26126181,7.616757578,7.716117651,7.48599776,7.113846887,8.099051542,8.152498115,7.711340591,7.698345191
"ABCC5",5.209713652,5.424156609,5.643502677,5.13950015,5.560240222,5.811368475,6.927881507,6.972088759,6.122403358,6.166276454,7.233109998,7.561990755,5.966132423,8.134639366,5.936480991,5.551863549,6.610886688,7.043884958
"ABCC6",4.019220286,4.72373150533333,4.310501078,4.19688093466667,3.68434848366667,3.79508069933333,5.248724166,4.82336351866667,3.71730700433333,3.843186946,3.87742575633333,3.972928942,4.15725769266667,4.60619197566667,4.01884554,3.83019029033333,3.708612083,3.897388908
"ABCC8",3.793975289,4.08058005,3.749400042,4.094597774,3.999807908,3.773923538,3.825215173,3.786650091,3.923140337,4.109204801,4.18968332,4.476624489,4.099146492,3.89633409,4.005805939,4.142816946,4.262128292,4.434717069
"ABCC9",3.592916162,3.605048174,3.47173479233333,3.748253763,3.82189942133333,3.90468558733333,3.58329839066667,3.76479796266667,3.62253569733333,3.525465442,3.81270490466667,3.80504974833333,3.68498825366667,3.56942963266667,4.21837907066667,4.377232115,3.763801645,3.664658931
"ABCD1",4.772359031,5.073034286,4.696478095,5.081695253,5.15578474,5.690405083,6.471637681,6.240400225,5.282537842,4.97081837,5.178252716,5.753288834,5.233807392,5.555591505,5.694408376,5.401929411,5.774388639,5.69359519
"ABCD1P2",3.672915711,3.567452318,3.976339621,3.587346644,3.865222787,3.733874329,3.92848065,3.733783137,3.897850945,3.804472242,4.076171398,3.973156711,3.65221112,3.933247727,3.921315161,3.944752536,3.835973074,3.716816397
"ABCD2",3.210206523,3.100804173,3.221121234,3.385021382,3.270360352,3.099741805,3.347660865,3.310215862,3.38560233,3.289778644,3.406132503,3.544910854,3.398608742,3.322048506,3.409157692,3.263964798,3.426371094,3.350917883
"ABCD3",9.647175189,9.622839463,10.1710161,10.15048362,8.624360677,8.667463415,9.555507577,9.103451099,8.707279264,8.739194564,9.345112114,9.335923039,9.511934834,9.531927157,9.42869459,9.182415722,9.118698573,9.126608196
"ABCD4",5.660434045,5.377765944,5.1451106325,5.7286890705,5.508665134,5.5570826805,5.6963909635,5.7517601795,5.3016954425,5.6992278585,5.344552209,5.6082895215,5.411799745,5.81154371,5.7823981615,5.994924529,5.4834251085,5.5872509355
"ABCE1",9.570128953,8.7159620115,10.060055782,8.9745192075,9.707687417,9.5012360405,8.925466818,8.41430386,9.757791211,9.5563617965,10.018656538,9.849021594,9.9210341045,8.6917050655,10.0660146695,9.8709356475,9.588752953,9.1943420915
"ABCF1",9.391591632,9.053627723,9.21370902,8.863168136,9.42856745,9.441042617,8.566967986,8.653386715,9.507926326,9.296312829,9.53005528,9.341490063,9.278324803,9.219529753,9.388039331,9.294100761,10.04676367,9.942682219
"ABCF2",7.5732505315,6.959253498,7.3682845875,6.734742186,6.99673558325,6.791563488,7.248674915,7.24427218575,7.23567966225,7.04642475825,7.67067226025,7.40082835975,6.052129409,5.63746025375,7.631975905,7.413443974,7.5159019895,7.11143332025
"ABCF3",6.666586299,6.752257955,6.641273567,6.22609191,6.478597594,6.281710071,7.285110118,7.303404248,6.86408285,6.720586101,7.202042366,7.079874823,6.872825817,7.182313438,6.811510587,6.833310193,7.508366837,7.266835134
"ABCG1",4.2700937565,4.0389692685,4.649809665,4.942589307,3.9143927195,3.923427119,6.7845007215,5.5570522615,3.8031860695,3.6051495425,5.3229026035,3.991690632,4.1961314955,4.223769306,4.582493157,3.9931642435,5.7707865235,5.5425003935
"ABCG2",8.950588641,8.864834738,3.850566036,3.770617266,5.337086964,4.681587501,4.577102107,3.961114455,3.754210866,3.794014999,6.425934223,6.209305165,7.040493736,6.514135992,8.06143903,8.217633304,3.843606644,4.045856586
"ABCG4",3.911507689,3.757101225,3.585029981,3.950855668,3.908183113,3.754795645,4.080749499,4.341878988,3.887906314,3.838281765,3.923935049,4.129123837,4.122362847,4.283529447,4.349867935,4.381971573,4.34200005,4.412745675
"ABCG5",3.576774425,3.520027081,3.534925693,3.577898685,3.751303188,3.563865221,3.495318798,3.411492415,3.519511528,3.479278918,3.398376747,3.924025727,3.758845015,3.582268482,3.482301829,3.561684235,3.569960827,3.705902503
"ABHD10",8.581153067,8.315296983,8.081176766,7.169955006,8.28302243,8.297028538,8.259628302,7.874203769,7.832486035,7.290447304,8.498788902,8.27993927,8.279660269,8.021051375,8.200077915,8.211194119,7.158064887,7.171222686
"ABHD11",7.95804838,7.653889707,8.387856803,7.483273849,7.229067864,6.78247689,8.123729722,8.138950072,6.855870657,7.458527839,7.889151725,7.799928914,7.657160371,7.581618535,8.46218371,8.452253359,8.305223244,7.672620488
"ABHD14A",6.573010772,6.933788094,6.581922807,6.8974592,6.241618144,6.314490665,8.162850505,7.932128731,5.723600043,6.02226504,6.305192073,6.081029651,5.399490623,5.768593409,6.380409632,6.749509694,7.52264866,7.614510441
"ABHD14A-ACY1",8.120063301,8.467917013,6.522811,7.02731169,7.908563097,8.08482288,7.858583821,7.819442065,7.451794149,7.267821568,7.442829116,7.662649503,8.328050971,7.734321898,7.397082879,7.721828595,8.538690038,8.434208426
"ABHD17AP6",7.926417655,7.848090731,8.489133949,8.309345927,7.759904687,7.74800922,8.437586936,8.157285198,8.477941634,8.244337661,7.7892468,7.51502551,8.109685887,8.211905274,8.376412025,8.237177018,8.272909158,8.090627318
"ABHD17B",6.553624297,6.01667249,5.297636568,5.237006701,5.8266705,5.211589161,5.660245416,5.432672898,5.1184401,5.537768193,6.057645972,5.778599668,6.377925279,5.4352896,6.210148273,5.938471422,6.103190832,5.849371767
"ABHD18",4.554862013,5.100678559,4.603983115,4.934777875,4.320039383,4.584960186,4.623228027,4.465044111,4.197621716,4.305009896,4.885444139,4.660322033,4.726005226,4.517704167,4.097980926,4.511724964,5.226934632,4.811182878
"ABHD2",6.6775346885,6.6639491855,6.85638304475,7.03623592925,6.21994077925,6.194517784,6.17108609475,6.423498984,6.6536832095,6.20046755425,5.7100003325,5.5042911205,6.835231102,7.074040986,6.078182533,6.24374997675,5.27567712025,5.4431141125
"ABHD3",8.383937454,8.940606135,9.251634387,10.34690479,8.267597351,8.165933408,8.107393269,8.266083536,8.578778828,9.549539325,8.865401562,8.622973562,9.879105029,10.35071795,7.850484972,8.047457233,8.064230011,7.952690501
"ABHD4",7.8613286,8.455395332,6.247632919,8.38080995,6.821145263,7.343058677,7.982688987,8.656385711,6.9162663,7.354323437,5.784076951,6.035024679,8.045784781,9.32044366,7.814564789,7.737111098,4.934719357,4.812265134
"ABHD5",5.60898114233333,5.29016682533333,5.809993306,5.84601212033333,5.89650165633333,5.970895378,5.76677843333333,5.54928427933333,5.34422743466667,5.42742812566667,5.63482245566667,5.56845098333333,6.132411642,5.90136553433333,5.49521727466667,5.71302783933333,5.76954655233333,5.78896442366667
"ABHD6",6.04432175566667,5.529785936,5.613176767,5.11151547833333,5.13092916833333,5.44405730633333,5.96743968266667,6.283166281,4.64846427266667,5.16698083566667,5.62669167566667,5.977390102,4.78078735366667,5.44678890666667,5.328650179,5.367115353,5.35298958233333,5.633224946
"ABHD8",4.859935261,4.907045299,5.087263959,5.095042003,5.332279946,5.580389794,5.095552354,5.953125607,5.040935243,5.095061969,5.518113339,5.46627003,5.148691662,5.648275029,4.649082448,4.754212945,5.568536313,6.03631859
"ABI1",8.154889903,8.017375295,8.3998629775,8.852184064,8.1793617145,8.1696948275,9.0077506105,8.95232039,8.286281329,8.51074376,8.535618849,8.3880035235,9.1216132055,9.42544537,7.4869190965,7.2398812945,8.657148072,8.6773303815
"ABI2",7.426789142,7.35080887233333,7.10183204966667,6.79091724433333,8.26140223666667,8.00264785333333,7.216279068,7.11763286833333,6.90424783833333,6.99642223866667,7.78843090866667,7.86199918366667,7.60392424766667,7.29586076633333,7.48441593366667,7.299719295,8.802491394,8.543084503
"ABI3BP",3.568060971,3.543849421,3.543317204,3.520239145,3.595802935,3.514862973,3.444466265,3.459096334,3.590299422,3.578271845,3.561130748,3.582634618,3.525082779,3.481468145,3.654582919,3.676198844,3.876477859,3.473368792
"ABITRAM",9.271552145,8.813947609,7.876314349,7.789401923,8.418297869,8.662212912,7.954425117,8.338640029,8.939600738,9.09326305,8.860013242,9.021800717,8.345468811,8.584044351,9.421361196,9.381134703,8.963232771,8.746745825
"ABL1",9.037497409,9.216633705,8.100377667,8.105833986,8.594804021,8.885458107,8.416457253,8.487327025,9.102915141,8.891642174,7.958615396,8.402026827,7.910675611,7.778376381,8.817177761,8.912413301,9.394259434,9.172170526
"ABL2",4.439807329,4.30084213,4.68103127,4.561574408,4.925848754,5.181914255,4.954186765,4.382616322,5.620537767,6.380613064,4.673922642,4.494425948,4.842310539,4.851955504,4.498146246,4.627324596,4.930259526,4.670959524
"ABLIM1",7.769515084,8.551379027,8.636927319,9.802312503,5.29723045,5.464615875,7.6994403955,7.518769953,5.6274702565,5.5695764575,6.9475589265,6.5341272525,8.364233869,9.25328059,7.7882633925,7.717866153,8.995990761,8.9144668445
"ABLIM3",4.555512175,4.392939685,4.432209981,4.024382466,8.213732043,8.584657207,7.800680443,7.98305892,4.056645198,3.801575013,4.411131021,4.790211454,5.155528042,5.314456772,4.239878835,4.283672464,3.649619147,4.394880035
"ABO",4.1647161305,4.3819240265,4.116876938,4.3494651435,4.131892776,4.145853896,4.1889693125,4.3434362225,4.2900317465,4.3088653195,4.9238826095,4.650099811,4.4483342005,4.562439026,3.8791355405,4.192315613,3.8813844655,4.221067732
"ABR",7.9036486685,7.459284721,7.552357216,6.94577391,6.9438253715,6.9417275845,7.6387497375,7.5577512765,7.670122957,7.671668284,6.2879316195,6.232050676,7.1322741715,6.4617699605,6.3741479555,6.2012040375,5.933039364,6.0718313705
"ABRAXAS2",7.555740806,7.3864425075,7.909149259,7.480819933,6.769505263,6.6979926335,6.986850161,6.9610008995,7.4240214635,7.3475371105,7.4896425275,7.25405085,8.1822546125,8.0309828355,7.9111455895,7.660524588,8.101049669,7.9382008015
"ABT1",7.270210478,6.388264569,6.481924784,5.477117318,7.466728906,7.129311845,6.814827999,6.93240635,7.328276664,7.116168488,7.289557782,6.674376522,7.718654467,7.107699544,7.357300165,7.284530324,7.990291682,7.433560241
"ABTB2",5.983310206,6.394271128,6.780916388,6.389570051,6.52147022,6.411609867,5.703465205,5.687412655,6.51983148,6.329009878,5.142296266,5.767991544,5.049555562,6.316970899,4.855077938,5.684018516,4.410440681,4.909650949
"AC000082.1",3.569866337,3.451327533,3.629827688,3.801342606,3.777977359,3.645571787,3.666769485,3.510246612,3.681321033,3.749254991,3.742448673,4.362348699,3.442219353,3.794158586,4.11905746,3.722670437,3.73419936,3.636097621
"AC000093.1",4.904510927,4.941010119,4.680183365,4.704541309,4.633220094,4.292875611,4.450558643,4.36729111,4.484559772,4.105003308,4.303933419,4.233382998,4.974254174,4.600357774,4.634544957,4.607166294,4.57605235,4.546535894
"AC000120.2",9.623157546,10.39779818,11.02025462,12.5037898,9.350254667,10.90807499,10.00300139,11.60840364,9.801120773,11.05449184,10.15366058,10.82073823,11.33883846,11.89734791,10.11210619,10.86490013,9.785255388,10.43477488
"AC001226.2",6.372323296,6.309409479,7.397603287,7.740326282,6.76163411,6.198050684,6.765325407,6.285017552,6.870605021,7.131592726,6.65916488,5.93096864,7.333251254,7.319577737,6.274692172,6.553305681,5.873459588,5.575305166
"AC001228.2",3.789451508,3.598019594,4.251991569,3.854815526,3.729541272,3.624494896,3.752572932,3.680075017,4.151353997,3.813817449,3.962497586,4.21462282,4.216618508,3.921867931,3.962737683,3.883326772,4.06085638,3.861997583
"AC002056.1",8.31281358,7.37537807,7.905163237,6.909262345,7.919305174,7.366996143,6.600109126,6.39453758,9.089955641,8.855565153,8.417266199,7.628283125,9.578462739,8.369124267,8.650717153,8.251593039,8.699976581,8.038131834
"AC002094.3",6.674785901,8.238770614,7.712939169,9.546140012,4.216803497,4.0873363,4.157439471,4.425413287,10.00967786,10.00813695,3.770061068,4.086214057,3.904136606,3.95374479,5.22894718,4.953666394,3.905156158,3.966244816
"AC002310.2",4.117211168,4.548722938,3.892327216,4.276249097,4.093943384,4.162864275,4.305241794,4.074749346,4.349799737,3.920272816,4.382788821,4.790381872,4.360776036,4.156276081,4.180911148,4.316902822,4.307423076,4.225479437
"AC002470.2",6.68901937,7.18685222,7.556440581,7.530931631,6.06862513,6.687173688,6.925140299,7.210658968,6.553530894,6.364419385,5.933724949,6.916793357,6.234391869,6.364777264,6.701239324,6.725168573,6.976725617,6.997119646
"AC003989.1",3.972141081,3.648790445,3.599627038,4.086291902,3.962632069,3.856168041,3.530864406,4.158780479,4.538405159,3.863094915,3.625833303,3.760023993,3.749218274,3.838690234,4.465254238,3.952961254,4.024553365,4.131715065
"AC004076.1",4.119067168,4.240426044,3.966438849,4.235008982,4.143640222,3.985855575,4.304359667,4.424091079,4.392897091,4.177695149,4.056124143,4.14464706,3.992988977,4.28469067,4.224816395,3.969851405,4.031446523,4.072220495
"AC004528.2",3.672124638,3.651878917,4.042478059,4.590711053,3.680258441,4.011111501,3.927788,3.771133637,4.151353997,3.748779454,4.150769447,4.564694021,3.820544323,3.823911717,3.916445108,3.680179985,3.679635581,3.775274787
"AC004593.3",3.55203033933333,3.87126559133333,3.823979048,3.93185613733333,3.63450008266667,3.68577643133333,3.96886318833333,4.11134986333333,4.701379284,4.75204646466667,4.15819566733333,4.320166849,4.03573864966667,3.82771408133333,4.23795222466667,4.18517542933333,3.78325412866667,3.59633920966667
"AC004623.1",3.26474486,3.699559606,3.319027183,3.318300054,3.238482891,3.491142581,3.363813594,3.661668472,3.327560038,3.46627477,3.684802125,3.551511076,3.699100124,3.691820343,3.509794681,3.29534174,3.518880185,3.316294017
"AC004674.1",3.639186331,3.920433087,3.773945175,3.582133317,3.730790355,3.633611378,3.520593968,3.491633516,3.639027645,3.865420154,3.840784292,3.823725833,3.668567087,4.05747478,3.52852154,3.579949762,3.783049612,3.770152852
"AC004687.2",9.4336230145,9.260309286,8.4412114185,8.729778925,8.558381486,8.4627990495,9.1073361815,9.0061958955,8.781694934,8.56920998,8.366640759,8.439590191,8.358509547,8.5737327635,8.363465682,8.414431332,8.865977578,8.7304977035
"AC004690.2",3.780421764,3.753820715,4.205550412,4.251008965,3.579356793,3.652109662,3.597897621,3.60046595,3.652193446,3.783041381,3.927448256,3.547746039,3.985772397,3.583361079,3.687290671,3.582466679,4.026754676,3.695968547
"AC004692.1",6.362625166,6.184627969,6.360861105,6.257910596,6.587638572,6.691814061,6.683482925,6.853918608,6.914471575,6.678584619,6.673915558,6.373159227,6.614355517,6.386986849,6.832848995,6.988173368,6.932813765,6.700950045
"AC004817.1",3.251590215,3.659504233,3.405053448,3.522400636,3.400004337,3.287835454,3.570876764,3.758658421,3.381321073,3.350425001,3.494180436,3.717247548,3.31585122,3.325579755,3.699049537,3.781998111,3.776416349,3.614579148
"AC004908.2",3.992222267,4.111873066,3.886742785,3.745515272,3.769668221,4.205571813,4.615791053,4.080506249,3.791928354,3.63030813,3.943682812,4.269777675,3.900117411,3.590936577,3.939252613,4.374885026,4.409335639,4.395803954
"AC004941.2",8.10518254,7.863338023,7.980836609,7.428583095,7.987318355,7.887944499,6.936786732,7.238364956,8.075389213,7.938813576,7.856620762,7.403740494,7.446383367,6.741597823,8.331685983,8.204973579,8.504053461,8.282847012
"AC004949.1",4.082038201,3.211737057,3.859606902,3.53364923,4.055228901,3.699308277,3.72359094,3.423451687,3.765061256,3.614089815,3.610623545,3.5134104,3.367840614,3.51163697,3.756976812,3.616157105,3.781678458,3.623730057
"AC005011.1",6.859604912,6.98169563,6.387406929,6.67973948,6.704115967,6.838888555,7.463973334,7.723204324,7.661316077,7.425834271,6.992569975,7.100091392,6.885889153,6.669257515,7.165849938,7.296227602,7.237005822,7.087007791
"AC005261.5",3.735331133,3.829296436,4.232603856,4.032575499,3.672168648,3.601638785,3.800604718,3.830360548,3.697297611,4.058978753,3.506910749,3.588886928,3.848925005,3.702767658,3.851019238,4.078549299,3.749264438,3.747732574
"AC005562.1",4.312391523,3.973072493,4.195398474,3.777408184,4.081293076,3.846535598,3.837563553,3.940421674,3.920356843,4.155726197,4.157816885,3.961356512,4.120105738,4.28530688,4.029958247,3.909312405,3.900413196,3.985324523
"AC005632.2",4.116758465,3.953984267,4.313537309,4.228474466,3.97475573,3.960472881,4.183755185,3.942762125,4.293641911,4.132055343,3.946909539,4.474248382,3.994466695,3.881759076,3.948815593,3.949525734,4.214721892,4.148580745
"AC005670.3",6.19165681,6.648329218,5.857010906,6.680958838,6.786198666,6.692792981,6.573189562,6.554733567,6.058128906,6.079532722,5.964053356,6.26014548,5.871964568,6.453638616,5.796405753,5.774980766,7.815027961,8.019806818
"AC005725.1",3.646585221,4.032669523,3.518868289,3.77070674,3.500294229,3.802009812,3.670442692,3.792903922,3.971463644,3.61503265,3.562424696,3.523083068,3.566299269,3.522201815,3.592527497,4.138728431,3.590517284,3.562095471
"AC005740.1",11.01763607,10.81671848,10.61993224,10.1574371,10.78046027,10.62401617,9.455948608,9.249565285,10.24739771,10.43789552,11.2685053,11.05392279,11.35596938,11.11641711,10.72126676,10.63508585,10.50209384,10.43363823
"AC005828.4",6.685084313,6.544921925,8.400342437,7.980653217,5.825000692,6.448223994,8.35191601,8.404851509,5.690040152,5.905553591,7.185671189,7.121842069,7.76293893,8.64291785,7.158157051,7.044954809,5.284305601,4.940110721
"AC005943.1",10.8078103,11.09480761,11.02825945,11.20352255,10.47199636,10.48499993,11.22069164,11.04010756,11.38759025,11.34607387,11.22085933,11.27541806,10.9326887,11.2755551,10.62671333,10.73812745,11.17610176,11.15893891
"AC006011.1",7.800381523,7.269203,7.074036622,6.2528716315,7.697719003,7.3475218665,6.697884377,6.36273254,7.456726649,7.2817396845,7.7593669485,7.210382514,7.099048882,6.163297332,8.1638105815,7.897435636,8.1188466945,7.778359943
