"cell_line"	"TGFRb_k_TAK1"	"TNFa_k_TAK1"	"TGFb_k_TGFRb"	"EGFR_k_TGFRb"	"EGF_k_EGFR"	"ERK_k_EGFR"	"S6K_k_IRS1"	"TBK1_k_IRS1"	"mTOR_k_IRS1"	"IGF1_k_IRS1"	"MEK_k_IRS1"	"PI3K_k_AKT"	"PI3K_k_M3K1"	"RASK_k_M3K1"	"ERK_k_RPS6"	"S6K_k_RPS6"	"RSKp90_k_RPS6"	"IKK_k_ERK"	"MEK_k_ERK"	"TAK1_k_MP2K4"	"M3K1_k_MP2K4"	"TNFa_k_MP2K4"	"mTOR_k_S6K"	"PI3K_k_S6K"	"IKK_k_TBK1"	"AKT_k_mTOR"	"TAK1_k_IKK"	"AKT_k_IKK"	"M3K1_k_IKK"	"TNFa_k_IKK"	"TBK1_k_IKK"	"EGFR_k_PI3K"	"IRS1_k_PI3K"	"RPS6_k_PI3K"	"TNFa_k_PI3K"	"IGF1_k_PI3K"	"HGF_k_PI3K"	"RASK_k_PI3K"	"EGFR_k_RASK"	"IGF1_k_RASK"	"HGF_k_RASK"	"BRAF_k_MEK"	"PAK1_k_MEK"	"ERK_k_BRAF"	"RASK_k_BRAF"	"PAK1_k_BRAF"	"ERK_k_RSKp90"	"TAK1_k_JNK"	"IRS1_k_JNK"	"M3K1_k_JNK"	"TNFa_k_JNK"	"MP2K4_k_JNK"	"AKT_k_PAK1"	"PI3K_k_PAK1"	"TAK1_k_p38"	"MP2K4_k_p38"	"TBK1_k_p38"	"TGFRb_k_SMAD2"	"AKT_k_GSK3"	"RSKp90_k_GSK3"	"TAK1_k_IkBa"	"IKK_k_IkBa"	"JNK_k_cJun"	"tau_TAK1"	"tau_TGFRb"	"tau_EGFR"	"tau_IRS1"	"tau_AKT"	"tau_M3K1"	"tau_RPS6"	"tau_ERK"	"tau_MP2K4"	"tau_S6K"	"tau_TBK1"	"tau_mTOR"	"tau_IKK"	"tau_PI3K"	"tau_RASK"	"tau_MEK"	"tau_BRAF"	"tau_RSKp90"	"tau_JNK"	"tau_PAK1"	"tau_p38"	"tau_SMAD2"	"tau_GSK3"	"tau_IkBa"	"tau_cJun"
"CAR1"	0.7323948667531	0.744161407150653	0.53494400228793	0.0615811337163787	0.456910360809705	1	0	0	0	0	0	0.431042467417582	0	0	0	0.459498767131364	0.324393918427775	0.466533782288664	0.174967815332034	0	0	0	0	0.259378285444711	0	0.662735761069449	0	0	0	0	0.900903450838694	0.394672151191406	0	0.897629730392719	0	0	0	0	0	0	0	0.442085048227759	0.347987724153709	1	0	0	0.546464670220305	0	0	0	0.800339583635233	0	1	0.441090230567893	0.538826184258119	0	0	0.580371897276397	0.465862761620301	0.311623929666594	0.531639691895101	0	0	0.00717280432204954	0.0197700097587201	0.275349193856642	0	0.0539944485936933	0	0.524138480359765	0.0708539821873055	0	0.0187764136145866	0.00635050697293103	0.0358247264008099	0.0174432898022708	0.0142094527112815	0	0.453350047328641	0.0253205599631647	0.52345891873613	0.00308784042763202	0.300365252908676	0.0531968786441898	0.0564580544006606	0.190310170973577	0.0753495775727342	0.00238154650536196
"CCK81"	0.730497431940172	0	0.452962528574985	0.345353952731846	0.451299942032547	1	0	0	0	0	0	0.513825861403096	0	0	0.358091804247304	0.403108303838249	0	0.539844129414654	0.207033651681071	0	0	0	0	0.530058598005325	0.574379848600413	0.558861757483643	0	0	0	0	0.578344019489986	0.402701725729306	0	0.618232729268483	0	0	0	0	0	0	0	0.246958608389847	0.510681555346615	0.618001579005732	0	0	0.550673256274512	0	0	0	0.809088624700217	0.797439822149571	0.885964717432138	0.438425938889559	0.618866839381839	0	0	0.665049838614909	0.482704568316036	0.292590735096705	0.447096190648413	0.364785731275949	0.594047629671213	0.0150123308535764	0.105002810747166	0.504256972910079	0	0.073318419754152	0	0.153633795751431	0.102963606501251	0	0.0227420129561854	0.00845897861280737	0.322219241246489	0.00958709339754605	0.0149136140096319	0	0.350216225526399	0.020199311697276	0.276257941878008	0.00790467271170196	0.180378873817574	0.0299393693655393	0.0184748934147284	0.243850064814637	0.153920741300203	0.0487972060666311
"COLO320HSR"	0	0.681744850984287	0	0	0	0	0	0	0	0	0	0.561861172774469	0	0	0	0.471171541982179	0.310484670754312	0.92891194442578	0.48862527968115	0	0	0	0	0.538789978087946	0	0.552819291676635	0	0	0	0	0.550280312129711	0	0	0.577259843817907	0	0	0	0	0	0	0	0	0.542879340794413	0	0	0	0.550090696301794	0	0	0	0.802610853829037	0.710082501415885	0.95792899399868	0.447771428910375	0.798873541820034	0	0	0.9431325962403	0.456936803566053	0.312823854762847	0.718192084465597	0	0.598750383837801	0.00428013691318732	0	0.00713704323005481	0	0.111018601260448	0	0.0986263474309318	0.0725586905183786	0	0.048136688451897	0.0013428247344953	0.130437077267065	0.108093558670459	0.0105785583276997	0	0.170596658931432	0	0.202767454791195	0.00568558044662145	0.138366056241479	0.0159843759084425	0.0137720185818068	0.123654893115203	0.0276600706540772	0.0697277721232028
"DIFI"	0	0.561488918702947	0.504000453859564	0	0	1	0	0	0	0	0	0.299407662022783	0	0	0.327828549697848	0.453724426420291	0	0.567020015293045	0.18738863409599	0	0	0	0	0	0.891294776088278	0.541803023576164	0	0	0	0	0.621024879597523	0	0	0	0	0	0	0	0	0	0	0.614495596550719	0	0.885042472730119	0	0	0.530059077688306	0	0	0	0	0	0	0	0	0	0	0.492243901513984	0.541152927143106	0	0.473353394555601	0	0.64836460456058	0.0883428670299229	0.0694366911312673	0.00753417739128795	0	0.0152871768616953	0	0.338123355367255	0.297630344730342	0	0.0151922938864347	0.0295421161528178	0.197716303287758	0.0228821807940024	0	0	0.0390433251594989	0.0601026860147386	0.0503667556244035	0.00435653536210574	0	0.0175128168953081	0.029775799577178	0.110055481555489	0.0457512843331981	0.0311014602014405
"HCT116"	0.271903185899741	0.710311785930523	0	0	0.449945520708588	1	0	0	0	0	0	0.510139186452771	0	0	0.321562364365451	0.444279411688521	0.173830243086836	0.461478099245398	0.160624891756004	0	0	0	0	0.236568548213046	0	0.59581754977202	0	0	0	0.607526106588893	0.700322351106714	0.278113408008536	0	1	0	0	0	0	0	0	0	0.385889524411723	0.411207880324583	0.734275003005657	0	0	0.579203181047982	0	0	0	0.829343902006768	0	1	0.458686871475541	0.446828080681062	0	0	0	0.308439361570019	0.500074838112061	0.495242010107664	0	0	0.0124633264154038	0	0.0468232325938139	0	0.100113874167101	0	0.304642030297014	0.0764123613853682	0	0.0192371129267859	0.00243325595860269	0.0192385661075601	0.0268381898951962	0.00830201794934247	0	0.424555037445511	0.0333589324190461	0.140742762843883	0.00446541901175644	0.161088726391007	0.0248423031855834	0	0.0543822255670509	0.0524550182765702	0.00268142495352514
"HT115"	0.700475656816904	0.645690132999719	0	0.680402476451803	0.508539887385382	0.98232161586716	0	0	0	0	0	0.54428585862394	0	0	0.277755146751517	0.490202605990757	0	0.42203054257145	0.233415595565136	0	0	0	0.438308056154533	0.319368315498132	0	0.507060377712331	0	0	0	0.643025048417907	0	0.356378808169802	0	0.861253946998156	0	0	0	0	0	0	0	0.247102641209055	0.509649124556826	0.647452929083906	0	0	0.560750389522145	0.624394154588386	0	0	0	0	1	0.518619677112446	0.5811729199842	0	0	0.568702148443456	0.492143231360774	0	0.462126532360503	0.327702302518548	0.536360333207028	0.0102184093469591	0.00977325915134379	0.0770627150949814	0	0.269020920909494	0	0.406044696510958	0.0452418983297019	0	0.0906982919066672	0	0.0455241429849804	0.017558607251078	0.00725835636680316	0	0.334540081393329	0.0223979592597248	0.0267515134051706	0.0080085406400944	0.0750991076987968	0.0590090381815878	0.103089134519333	0.0674086105908928	0.0700160904234646	0.122321523219044
"HT29"	0.747088685571364	0.54070880174126	0	0.550045948749028	0.405605237201336	0.552389715286816	0	0	0	0	0	0.531870296582577	0	0	0.398953693360828	0	0	0.419884298959633	0.30857954865511	0	0	0	0	0	0	0.948976658186593	0	0	0.544540100407531	0	0	0	0	0.352006311800825	0	0	0	0	0	0	0	0.350781097485595	0.442960777283785	0.357823322008848	0	0	0.518198084740895	0	0	0	0.911832460433109	0	0.533160834221907	0	0.584560004350687	0	0	0.535018500597444	0	0.714232036944541	0.552847526442753	0	0.708906035835899	0.00965753283824932	0.110771325525699	0.0416242639186844	0	0.134339002584983	0	0.00234090933807824	0.0194552574930684	0	0	0	0.0142843620985584	0.0179379374330478	0.0078657560027413	0	0.328397074230276	0.023813307182873	0.0285661659759671	0.00487523113168361	0.164357957068734	0.0734382601907425	0.0331438032172652	0.00352881344295703	0.18132591460523	0.0222065928734946
"SKCO1"	0.767172019833409	0.786372914342245	0.534879523214789	0.247277670873189	0.47408164355761	0.745581198721882	0	0	0	0	0	0.527579430437	0	0	0.531865107028707	0	0	0.366232401962232	0.23632044297949	0	0	0	0	0	0	0.868160318839287	0	0	0	0	0.673197914882609	0.383439422102603	0	0.377040439153726	0	0	0	0	0	0	0	0	0.55531344914855	0	0	0	0.548978268105842	0.914497194216789	0	0	0	0	0.517640887329524	0.371500362612364	0.565489284533361	0	0	0.596358002100261	0	0.572908574446346	0.53031692581695	0.222678843681992	0.555153936050231	0.0169122465544323	0.0125545042090022	0.0500457111359386	0	0.0855143805539386	0	0.0826632877417206	0.0318992123971302	0	0	0.00137006836811694	0.00592523477865173	0.0161168652623735	0.0130638173458762	0	0.206581129486028	0	0.0765641476110825	0.0210924340871873	0.0390244696284561	0.0580138759554736	0.0642566800493511	0.111079872719336	0.0973982659845451	0.113651622919771
"SNUC2B"	0.549988057947311	0	0.390232517537936	0.404513498106649	0	0.635475143239288	0	0	0	0	0	0	0	0	0	0	0	0.593537954624085	0	0	0	0	0	0	0	0	0	0.571183831204204	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198680039714174	0.531110460367247	0.649409573601615	0	0	0.55252397868191	0.575960771298995	0	0	0	0	0.743437912699092	0.443092394988488	0.148864383158041	0	0	0.524261353954151	0	0	0.106942807897107	0.39393503293846	0.574888246452181	0.134876200018022	0.121510427187618	0.00854265662682087	0	0	0	0.0153730702719256	0.0494187874277879	0	0	0	0.00951585046598933	0.0105977900756479	0.00612253660256286	0	0.305302371856449	0.021002217492593	0.117485106233992	0.00579018230357671	0.0823105091809722	0.00394935234745786	0.0215597666088083	0.00747535020105188	0.00674042666809941	0.111155641202386
"SNUC5"	0.736974565450785	0.63837718535898	0	0.551911521423461	0	0.378227641010741	0.660747692088511	0	0.623660522990888	0	0.617106576046993	0.509854535020487	0	0	0.413508105863361	0.382591075256462	0	0.49707263183856	0.187732178117743	0	0	0	0	0	0.787449687923073	1	0	0.594994248345502	0	0	0	0	0	0.21179216611913	0	0	0	0	0	0	0	0.391271925272141	0.406487469975847	0.637446563004456	0	0.50989125359949	0.626603298173127	0.580227512657604	0.643955529382239	0	0	0	0.557256540983467	0.170150437319507	0.385850416191081	0	0.413016504355454	0.553933153020879	0	0.544747385631438	0.560124511867896	0	0.576588373763799	0.00772838697736559	0.138537150099865	0.021003943389654	0.0197619181048948	0.133216937457277	0	0.166815565047169	0.0880043352546407	0	0	0.00861009599649547	0.017882812027607	0.00573167777971909	0.0115802167644283	0	0.468649646114527	0.0297707608019403	0.0932982420269821	0.00748533355824161	0.336862479667167	0.143987236651029	0.0234301540959689	0.101036703617228	0.120801757938355	0.110655207216174
