"","Gefitinib","RDEA119","CI-1040","Afatinib","Nutlin-3a","PD-0325901","SB590885","AZD6244","BMS-536924","Cetuximab","HG-5-88-01","(5Z)-7-Oxozeaenol","Trametinib","Dabrafenib","Afatinib (rescreen)","AZD6244.1","RDEA119 (rescreen)","BMS-754807","OSI-906","BMS-345541","Ruxolitinib","LY317615","XMD14-99","CP724714","CH5424802","EKB-569","OSI-930","QL-XI-92","EX-527","THZ-2-102-1"
"CAR1",1.3575407802551,1.34345561056519,3.2702691651951,-0.830926305041881,5.51456339712212,-0.235147314075396,4.16432423880775,2.0052116206341,1.94285847322798,7.19002123497932,4.19939924289789,0.775055100330844,-0.177967219552655,5.76822728850415,1.18225369255748,2.74388436762378,2.68738109895766,3.83522691803732,4.15969030585231,3.75362718264209,5.07672165280423,5.35045090314003,5.75194161975773,5.83609949081083,5.10845195995109,3.07166165724469,5.27902506563512,5.56104506925216,6.1803176977373,-1.20963850196525
"CCK81",-0.658930987461854,NA,2.73974400271487,-1.61225032107853,0.550557277191454,-1.72384638461393,1.98715994381422,-0.539122592075767,3.54828050139071,6.6461161438306,3.64355123510122,2.69696932884437,2.35485851304842,4.4901616364392,3.48084581607215,3.84579066661922,3.90225727494561,0.531483221911795,0.547173126748563,2.3527255259329,4.15102485171764,-0.269651243576571,4.8200917103163,3.43623299891648,2.80574282601686,-2.66575778349349,3.76548687043185,3.79390711084287,5.52807733508253,-2.15403345751181
"COLO320HSR",1.45976292513181,3.77614139720485,4.15124564832577,1.2199276148643,4.26339554635138,0.657708577543641,3.74438024036026,3.52894505346695,0.910578103890973,6.33877402951859,NA,1.39989238317858,2.1308372841203,4.44884999488061,4.40332695277501,3.44845357818212,3.7436849997886,-1.72160396309461,-0.65649653752021,1.2331265984203,3.14856539882383,3.20417402724259,3.92767909480216,3.54322425797213,3.79318244938491,2.50606247155916,3.12669186597841,4.08445245822853,4.5648517534119,-3.49021837432209
"DIFI",-3.26118042685206,0.00907721773463084,1.60730659294895,-5.31184988259588,4.43641541594674,-1.96596396143276,4.42237149526824,4.03163731155208,1.833904489044,0.0214150994833835,2.72367433976384,1.09632098797814,-3.3641905886422,3.87638763748819,-3.06737377414413,1.62044997022438,0.026012334101411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HCT116",1.03443043827547,-0.509692860802714,1.46158090531454,-0.070385912542442,1.14011381998787,-1.55655042284106,2.90439691205177,-0.108501136077456,0.347013426467831,5.95466269416506,2.7877070746528,-0.723526534759195,-4.36945682494246,1.33734065740226,3.62943803109369,-0.0906234276590094,-0.971332906640296,0.816620641324867,2.91236675971961,2.69566449588356,3.90414723666361,2.52478575570983,3.01255016609347,4.08354489553475,3.71971669285885,-0.158277003139497,1.06472403984584,2.76071025286693,5.07101403427059,-3.62504233153822
"HT115",0.44426654408527,0.945824237904665,2.96387249348925,-0.640232905384676,4.55240500296897,-1.41477640438349,4.08960453909626,3.86435494092875,2.17053528964969,3.3592576045125,3.15974581268324,-0.54687396799934,-0.238624306666105,3.36591139120744,2.59100089795862,1.85929070378478,1.28170537804799,2.28133659388309,3.41997834172068,5.1080679124763,3.63257252846625,4.17485795523759,4.59695901813701,3.08158679893715,4.031565064481,2.28567612865056,4.6685613677686,4.68301395029744,4.57101264252705,3.20342177482735
"HT29",1.9097900816238,-2.23609551147948,0.230067985591275,0.849358516389904,4.683158963606,-3.73931188215219,1.4029488583015,3.58541951060227,0.537986793757846,5.91634950538081,1.33634492573376,-0.0466890180393748,-5.17587813930536,1.30826866357692,4.80101794431846,-1.8705180151412,-1.3569461520829,-3.63581939195264,-1.5179970022487,2.77600505557552,4.25243347988643,0.854047747200174,2.88361635896595,4.1754389341554,4.05837849634765,1.22810893265192,4.39667347335831,4.43995245898405,5.5096158025256,-1.3495551063056
"SKCO1",NA,-1.49117200196649,NA,NA,1.97256512857424,-4.57936597828802,1.66073689594465,3.8351554559305,1.03861953750474,6.51100022919079,1.30414515989103,-0.852323562773093,-5.53838241603903,3.07590055464904,3.77693374493512,-0.25626137533869,-0.754914743629931,-1.51743463718296,0.879434820341222,4.69342277338896,4.06499017294035,4.03401317881622,4.74791976789342,4.27888659251445,4.08201553386203,3.09046151001118,4.76204768527111,4.7735252674482,5.44365198228452,-1.1391976480335
"SNUC2B",0.37508896156643,1.55407704988027,1.94380404272229,0.113227773613738,3.44833844339399,-1.43871341534858,4.80312755715147,1.91203921738349,2.3376458049459,6.81762091908089,4.00052966050578,-0.154695106627072,-1.05356601256209,4.94910584231864,2.60950017065272,1.81335002025277,2.15577091182728,0.493326766676211,1.66184011467933,2.61124184484973,4.6157708230203,2.30538959930652,5.40942889259482,4.22845798692487,2.49011667877686,1.03917282784645,3.63107743313177,5.33168818588557,5.96085523550136,-2.03616022132442
"SNUC5",2.12802346750979,0.246031152699885,1.79408344479486,0.739109216310635,5.00640214771578,-3.25767014782463,3.34266427372228,4.31729280752037,3.29451877799617,6.97473174625189,2.9074045488999,0.424119775047507,-2.02167089777502,1.5191132858956,4.04647890759436,0.813352200289938,0.340006728931043,NA,NA,3.71336164711847,4.53843268347954,4.75853127353944,4.26395532503856,4.51157817854373,4.40155951977436,3.12262611998416,4.851689622054,4.57992349905231,5.92683578881732,-0.517758210240452
"SW1116",NA,NA,NA,NA,NA,NA,NA,NA,2.60012369242975,3.94294643001581,NA,0.281316290411752,-2.7154699936756,3.79845602983747,1.59306639264297,0.476815053088743,0.488276171714507,NA,NA,6.59020392563147,5.29191645698506,6.81737578812293,6.13695897122562,6.14098381150903,5.45479795362036,4.73765790542814,6.11202412955683,6.09789964163266,6.36220398368811,4.68064957629015
