,V1
MAPKAPK2,6.63513052133333
MAPK14,6.46150536225
CHUK,7.4518670395
NFKB1,7.857848256
MAPK8,4.5519912345
MAP2K4,7.11148114
MAPKAPK5,7.6221593045
MAPK3,6.807562775
MAP2K1,8.7345439785
RPS6KA3,8.129743204
MAPK1,8.0468671615
RPS6KA1,6.407109548
RAF1,8.8627950655
MAP3K8,3.971349447
IKBKB,5.65052248933333
MAP3K14,6.1793194555
MAP3K7,7.389337173125
TRAF2,4.5719799685
STAT1,7.49600121016667
MAP2K2,8.35159818475
MAP3K5,5.3896797935
DAXX,7.825721861
RIPK1,6.671622057
TRADD,7.358633861
RPS6KA4,7.254844172
MAP2K6,4.48940700325
MAPK11,4.53866787283333
MAP2K5,6.18828693633333
MAP3K3,6.606234893
HRAS,8.435160246
MAP3K4,7.4728575625
MAP2K3,7.52771177575
MAP3K1,4.196534704
MAPK9,8.39605170425
MAP2K7,4.26612940766667
RAC1,12.11320697
PAK1,4.893378666
GRB2,9.03928514
MAPK13,4.7381667485
MAPKAPK3,7.8641499865
JUN,7.76796501383333
ATF2,6.461450372
MAX,6.8375808845
TGFB1,6.0262100015
TGFBR1,4.5765048565
NFKBIA,8.972778771
MAP4K1,4.05638674866667
MAP3K10,5.5286899775
RPS6KA5,6.085816515
PAK2,8.340299401375
MAPK12,5.6178998095
MAPK10,3.904484967
MAPK7,5.7051312325
MAP3K2,6.554621905
MAP4K2,4.652693772
MAP3K12,5.42660649875
MAP3K11,7.0238416205
MAP4K4,8.484020538
MKNK2,9.911835548
MKNK1,7.678939414
MAP4K5,7.12239075266667
MAP4K3,8.009573368
MAP3K13,3.8231133135
TGFB2,4.94339507216667
TGFB3,4.732856167
SHC1,10.82621709
RELA,8.051130627
RPS6KA2,5.2394699675
FOS,4.8654548545
MAP3K6,5.696128803
RPS6KB1,7.769263825
MAPK4,3.5722402235
MAPK6,9.8756944115
MYC,10.59227395
SP1,4.1342956375
CEBPA,5.158319178
ELK1,6.22362047533333
CREB1,6.968432327125
