source_genesymbol	target_genesymbol
MAPKAPK2	MAPK14
MAPK14	MAPKAPK2
CHUK	NFKB1
NFKB1	CHUK
MAPK8	MAP2K4
MAP2K4	MAPK8
MAPK14	MAPKAPK5
MAPKAPK5	MAPK14
MAPK3	MAP2K1
MAP2K1	MAPK3
MAPK3	RPS6KA3
RPS6KA3	MAPK3
MAPK1	RPS6KA1
RPS6KA1	MAPK1
MAPK1	RPS6KA3
RPS6KA3	MAPK1
RAF1	MAP2K1
MAP2K1	RAF1
MAP3K8	MAP3K14
MAP3K8	MAP2K4
IKBKB	MAP3K14
MAP3K14	IKBKB
NFKB1	MAP3K8
MAP3K8	NFKB1
IKBKB	MAP3K7
MAP3K7	IKBKB
TRAF2	MAP3K14
MAP3K14	TRAF2
STAT1	MYC
MAPK3	MAP2K2
MAP2K2	MAPK3
MAPK1	MAP2K1
MAP2K1	MAPK1
MAP3K5	DAXX
DAXX	MAP3K5
TRAF2	MAP3K5
MAP3K5	TRAF2
IKBKB	TRAF2
TRAF2	IKBKB
TRAF2	RIPK1
RIPK1	TRAF2
RIPK1	TRADD
TRADD	RIPK1
MAP3K14	RELA
MAP3K7	TRAF2
TRAF2	MAP3K7
RPS6KA4	FOS
MAPK3	RPS6KA5
IKBKB	NFKB1
NFKB1	IKBKB
MAP3K8	MAP2K1
MAP3K8	MAP2K2
MAP3K8	MAP2K3
MAPK8	JUN
MAP2K6	MAPK11
RPS6KA4	CREB1
MAPK11	ATF2
RPS6KA4	RELA
MAPKAPK2	CREB1
MAP2K5	MAP3K3
MAP3K3	MAP2K5
MAPK14	FOS
MAPK3	SHC1
HRAS	SHC1
MAPK1	MAPK14
MAPK14	MAPK1
MAPK3	MAPK14
MAPK14	MAPK3
MAP2K2	MAPK6
RAF1	MAP2K2
MAP2K2	RAF1
RAF1	MAPK1
MAPK1	RAF1
RAF1	MAPK3
MAPK3	RAF1
MAPK1	MAP2K2
MAP2K2	MAPK1
MAPK3	RPS6KA1
RPS6KA1	MAPK3
MAPK8	SP1
MAP2K6	MAP3K4
MAP3K4	MAP2K6
MAP3K4	MAP2K4
TRADD	TRAF2
MAP2K3	MAPK14
MAPK14	MAP2K3
MAP3K5	MAP2K3
MAP2K1	MAPK6
MAP3K1	MAP2K4
MAP3K1	MAP2K7
MAPK8	STAT1
MAPK9	STAT1
MAP2K7	MAPK8
MAPK8	MAP2K7
RAC1	PAK1
PAK1	RAC1
GRB2	PAK1
PAK1	GRB2
MAPK13	MAPKAPK3
MAPKAPK3	MAPK13
JUN	ATF2
ATF2	JUN
MAX	MYC
TGFB1	TGFBR1
TGFBR1	TGFB1
MAP3K7	MAP2K4
MAP2K4	MAP3K7
MAP3K7	MAP2K6
MAP2K6	MAP3K7
MAP3K5	MAP2K4
MAP3K5	MAP2K7
MAP2K6	MAP3K5
MAP3K5	MAP2K6
HRAS	RAF1
RAF1	HRAS
MAPK11	MAPKAPK5
MAPKAPK5	MAPK11
IKBKB	NFKBIA
CHUK	NFKBIA
NFKBIA	CHUK
MAPK14	ATF2
MAPK3	ELK1
RPS6KA1	FOS
MAPK8	ELK1
ATF2	MAPK8
MAPK8	ATF2
MAPK14	ELK1
MAP3K7	MAP2K3
MAP4K1	MAP3K11
MAP3K10	MAP2K7
RPS6KA5	MAPK11
MAPK11	RPS6KA5
RPS6KA5	MAPK1
MAPK1	RPS6KA5
RPS6KA4	MAPK3
MAPK3	RPS6KA4
RAC1	PAK2
PAK2	RAC1
MAP2K7	MAP3K7
MAP3K7	MAP2K7
MAPK14	MAPKAPK3
MAPKAPK3	MAPK14
MAP2K7	MAPK10
MAP2K7	MAPK9
MAPK9	MAP2K7
MAP2K6	MAPK12
MAPK12	MAP2K6
MAP2K4	MAPK10
MAPK10	MAP2K4
MAP2K6	MAPK14
MAPK14	MAP2K6
MAPK9	MAP2K4
MAP2K4	MAPK9
MAP2K3	MAPK11
MAP2K5	MAPK7
MAPK7	MAP2K5
MAP3K2	MAP2K4
MAP3K2	MAP2K1
RPS6KA5	CREB1
PAK1	RAF1
MAPK3	MAP3K1
MAP3K1	MAPK3
MAPK7	RPS6KA1
MAPK1	MAP2K3
MAPK3	MYC
MAPK8	RPS6KB1
MAPK14	CREB1
MAPK14	MAX
MAP4K2	MAP3K1
MAP2K4	MAP3K12
MAP3K12	MAP2K4
MAP3K11	MAP2K4
MAP4K4	MAP3K1
MAP4K1	MAP3K1
MAP3K11	MAP2K3
MAP3K11	MAP2K6
MAPK14	MKNK2
MKNK2	MAPK14
MAPK3	MKNK2
MAPK3	MKNK1
MKNK1	MAPK3
MAPK14	MKNK1
MKNK1	MAPK14
MAP2K4	MAP3K10
MAP3K10	MAP2K4
MAP2K1	PAK1
PAK1	MAP2K1
MAP4K5	MAP3K1
RPS6KA4	MAPK14
MAPK14	RPS6KA4
MAP3K7	MAP4K4
MAP4K4	MAP3K7
MAP4K1	MAP3K7
MAP3K8	MAP2K5
PAK2	RAF1
MAP2K3	MAPK13
MAPK13	MAP2K6
MAP2K6	MAPK13
MAP2K3	MAPK12
MAPK12	MAP2K3
MAP2K5	MAP3K2
MAP3K2	MAP2K5
MAP4K3	MAP3K1
RAC1	MAP3K11
MAP3K11	RAC1
MAP3K13	MAP2K7
MAPK1	MAP3K1
MAP3K1	MAPK1
MAP2K7	MAP3K12
MAP3K12	MAP2K7
MAPK1	MAP3K5
MAPK14	STAT1
TGFBR1	SHC1
MAPK1	FOS
MAPK3	FOS
MAP3K7	MAP2K2
NFKB1	NFKBIA
NFKBIA	NFKB1
MAP2K7	MAP2K2
MAP3K1	MAP2K2
TGFBR1	TGFB2
TGFB2	TGFBR1
TGFB3	TGFBR1
TGFBR1	TGFB3
MAP4K1	MAPK1
RAF1	MAP4K1
RPS6KA1	CREB1
MAPK1	MAPKAPK2
MAPK14	RPS6KA5
MAPK1	ELK1
SHC1	GRB2
GRB2	SHC1
MAP3K2	MAPK1
MAP3K14	MAP3K1
MAP3K3	MAP4K3
MAP3K4	MAP4K3
MAP4K3	MAPK14
RAC1	MAP3K10
MAP3K1	MAPK8
JUN	CREB1
