Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
APBB1IP,-1.9950511446111108,4.910769867352942,-9.654407324734509,2.6944891576343054e-8,3.559150728319154e-4,8.13629658492865
PAX8,-2.4968786683142348,5.384158433404412,-7.36247075684331,1.1401475158515743e-6,0.007530104268441722,5.241473690336852
RALGAPA1,0.9141384583333361,5.765709529411764,6.593284632072555,4.665748600352685e-6,0.019297255808558914,4.0786918786499164
HOXA9,-4.380087250319445,6.282780409117647,-6.474330066095028,5.843668955578443e-6,0.019297255808558914,3.8898016751687923
BX571818.1,-3.402290106249999,5.3282546880588235,-6.111634020971626,1.1746869211671544e-5,0.03094666925141735,3.2989307681897735
MOXD1,-3.679033329444443,6.872524398647059,-6.019830506609482,1.405708346646257e-5,0.03094666925141735,3.1458366756245404
GFRA1,-2.7457125960694437,5.3064114737647055,-5.855677619753441,1.9432479238277758e-5,0.033662156076625656,2.8685839409824325
CNIH1,0.7522926181944438,10.79721042882353,5.831511151993874,2.0387406208873135e-5,0.033662156076625656,2.827390744549515
PLK2,-2.3864099664166645,10.130869812117647,-5.596850279588109,3.261106631650013e-5,0.046759035746169984,2.422465438178044
CARD10,-1.383358757187498,6.584427503823529,-5.522027447642931,3.793594924941519e-5,0.046759035746169984,2.2915050311338785
PTPN13,-2.1657937222222206,7.0065058235294115,-5.467126936362603,4.240719848229115e-5,0.046759035746169984,2.1948582326932673
FAM49A,-2.6838357146111096,4.9564504496470585,-5.432149954768456,4.5535672306240285e-5,0.046759035746169984,2.1330422320810722
ZFHX4,-2.121700333333334,5.939992882352941,-5.410314793282523,4.760824820242704e-5,0.046759035746169984,2.09435729566213
DOCK2,-2.5279380411111076,5.166397438588235,-5.390637685587025,4.9559126387037606e-5,0.046759035746169984,2.0594336146916667
PLCB4,-3.030160621326389,7.552731300558824,-5.195260517738886,7.402635822179238e-5,0.06103672180881838,1.7095397359973088
CNDP2,-1.182761772861113,9.58398338535294,-5.182719927879279,7.596920377767887e-5,0.06103672180881838,1.68689108798426
JAK1,-1.1885305090277711,10.407442692058824,-5.131915610474068,8.439125748012754e-5,0.06103672180881838,1.594908670576629
CD40,-1.3155887064861096,5.437604683397059,-5.0292766012352015,1.0445358845622057e-4,0.06103672180881838,1.4079821061247886
PPP2R3A,-1.665271841060183,6.7888573057843145,-5.00592224790992,1.0966519830471985e-4,0.06103672180881838,1.3652487926327526
ARHGEF5,-1.8884615847361124,6.590698955470589,-5.0037564750773535,1.1016180475790779e-4,0.06103672180881838,1.361282208980887
NDST1,-0.8929933062083313,5.944963310764706,-4.995951439834332,1.1197067295631918e-4,0.06103672180881838,1.346982211180583
DNAAF2,1.0203909584444428,8.120641068,4.986689339791732,1.1415675896586892e-4,0.06103672180881838,1.3300021560820277
DKK3,-3.4794316413888886,7.234191384558823,-4.964577053790069,1.1955432660127177e-4,0.06103672180881838,1.2894182671035512
MYBL1,-1.5324346371666646,8.863564178941177,-4.962822450803095,1.1999365953748278e-4,0.06103672180881838,1.286195197103586
CD70,-2.8924916302777772,7.226728993117647,-4.95128420918766,1.2292418229115554e-4,0.06103672180881838,1.264990317035549
HABP4,-0.8145163337499994,5.387855560117647,-4.951058492220324,1.2298223581164514e-4,0.06103672180881838,1.2645753231985477
ZBTB25,0.6866250694444442,5.136432764705883,4.909547106797788,1.3415071686237646e-4,0.06103672180881838,1.1881421611028635
ANGEL1,0.7262321385347237,5.813971128735294,4.874896257065402,1.442657354384783e-4,0.06103672180881838,1.124172405034221
RABGGTA,0.7676992777777789,6.381808529411765,4.871294009858775,1.4536110007106783e-4,0.06103672180881838,1.1175135225478376
HIST2H2BE,1.2804121561388886,5.704019703882353,4.863978388448595,1.4761187345052035e-4,0.06103672180881838,1.1039853382947902
STAC,-2.723020819444443,7.089073117647059,-4.856601304633177,1.4991766090833385e-4,0.06103672180881838,1.0903367368356118
AL353813.1,-1.9497989899444423,6.489588771411765,-4.8551664123684795,1.503704134364132e-4,0.06103672180881838,1.0876812059955157
LOXL2,-1.9827675172430537,7.156086761382353,-4.839558278839514,1.5538651956963084e-4,0.06103672180881838,1.0587790255336982
PSMB5,0.6566803888888924,10.269282823529412,4.834318132697031,1.5710867904457755e-4,0.06103672180881838,1.049068907713525
LTBP1,1.5045019816597218,5.9618504506764705,4.809226920930414,1.656292430199038e-4,0.06250847631571169,1.0025277371579975
AP4S1,0.7374461918842625,5.273393322862747,4.768271557260163,1.8056462780718818e-4,0.0637504687173117,0.9263972407510579
ZFHX2-AS1,1.0677959722222248,6.817823,4.759374711655586,1.839870017165065e-4,0.0637504687173117,0.9098328257001373
PER2,0.9258921187847227,5.284350473470588,4.756669442586336,1.8504072363209034e-4,0.0637504687173117,0.9047942270596057
TIMM9,0.8754253194444459,7.544397588235294,4.748588077124297,1.8822532212697072e-4,0.0637504687173117,0.8897374696382432
KCNMA1,-1.665590729805559,5.662154792039216,-4.695134508952814,2.107472918606397e-4,0.06959402445467974,0.7899554833807576
FAM149A,-1.2103639510648123,4.304286784313725,-4.618873075233821,2.477323685827952e-4,0.0798121184539059,0.6470430625215347
PDZK1P1,-3.7246093725138865,5.511737991882353,-4.577905891722201,2.7026832193890684e-4,0.08310255691367836,0.5700127367435348
DHCR24,-1.793303340166668,10.159221160529412,-4.573791388395597,2.7264414757951995e-4,0.08310255691367836,0.5622665811664671
FARP1,-1.8196764025208312,7.514690173235294,-4.56664763507481,2.7681978228494573e-4,0.08310255691367836,0.5488132793991625
